Bonjour	INTJ	ADV
.	PUNCT	PUNCT

Mon	DET	DET
endroit	NOUN	NOUN
préféré	ADJ	VERB
est	VERB	AUX
le	DET	DET
jardin	NOUN	ADJ
où	PRON	ADV
je	PRON	PRON
passe	VERB	VERB
souvent	ADV	VERB
du	ADP	_
temps	NOUN	PROPN
à	ADP	ADP
lire	VERB	DET
ou	CCONJ	CCONJ
à	ADP	ADP
me	PRON	PRON
détendre	VERB	VERB
.	PUNCT	PUNCT

Nous	PRON	DET
avons	VERB	VERB
aussi	ADV	ADV
un	DET	DET
petit	ADJ	NOUN
étang	NOUN	ADJ
au	ADP	_
nage	NOUN	ADV
,	PUNCT	PUNCT
des	DET	DET
poissons	NOUN	DET
colorés	ADJ	ADV
.	PUNCT	PUNCT

C'	PRON	ADV
est	VERB	AUX
un	DET	DET
endroit	NOUN	NOUN
paisible	ADJ	ADJ
et	CCONJ	CCONJ
agréable	ADJ	ADV
à	ADP	ADP
vivre	VERB	VERB
.	PUNCT	PUNCT
Récemment	ADV	NOUN
,	PUNCT	PUNCT
j'	PRON	PRON
ai	AUX	AUX
eu	VERB	VERB
l'	DET	DET
occasion	NOUN	NOUN
de	ADP	ADP
participer	VERB	DET
à	ADP	ADP
un	DET	DET
voyage	NOUN	NOUN
scolaire	ADJ	ADJ
en	ADP	ADP
Italie	PROPN	PROPN
.	PUNCT	PUNCT

C'	PRON	PROPN
était	AUX	AUX
une	DET	DET
expérience	NOUN	PROPN
incroyable	ADJ	ADJ
.	PUNCT	PUNCT

Nous	PRON	DET
avons	VERB	ADJ
visité	VERB	NOUN
des	DET	_
sites	NOUN	NOUN
historiques	ADJ	ADJ
comme	SCONJ	ADP
le	DET	DET
Colisée	PROPN	NOUN
à	ADP	ADP
Rome	PROPN	DET
et	CCONJ	CCONJ
la	DET	DET
tour	NOUN	NOUN
de	ADP	ADP
Pise	PROPN	PROPN
.	PUNCT	PUNCT

J'	PRON	PROPN
étais	AUX	ADJ
fasciné	VERB	ADV
par	ADP	ADP
l'	DET	DET
histoire	NOUN	NOUN
et	CCONJ	CCONJ
la	DET	DET
culture	NOUN	NOUN
de	ADP	ADP
ce	DET	NOUN
pays	NOUN	NOUN
.	PUNCT	PUNCT

De	ADP	ADP
plus	ADV	ADV
,	PUNCT	PUNCT
j'	PRON	PRON
ai	AUX	AUX
pu	VERB	ADV
pratiquer	VERB	ADV
mon	DET	DET
italien	NOUN	NOUN
,	PUNCT	PUNCT
ce	PRON	PRON
qui	PRON	PRON
était	AUX	AUX
très	ADV	ADV
enrichissant	ADJ	VERB
.	PUNCT	PUNCT

C'	PRON	PUNCT
était	AUX	AUX
vraiment	ADV	VERB
mémorable	ADJ	AUX
et	CCONJ	CCONJ
cela	PRON	PRON
m'	PRON	PRON
a	AUX	AUX
donné	VERB	VERB
envie	NOUN	DET
de	ADP	ADP
continuer	VERB	NOUN
à	ADP	ADP
explorer	VERB	DET
le	DET	DET
monde	NOUN	NOUN
.	PUNCT	PUNCT
Dans	ADP	ADP
le	DET	DET
futur	NOUN	ADJ
,	PUNCT	PUNCT
j'	PRON	PRON
aimerais	VERB	ADJ
poursuivre	VERB	ADV
mes	DET	DET
études	NOUN	NOUN
en	ADP	ADP
physique	NOUN	NOUN
à	ADP	ADP
l'	DET	DET
université	NOUN	NOUN
afin	SCONJ	ADV
d'	VERB	ADP
approfondir	VERB	ADV
mes	DET	DET
connaissances	NOUN	PROPN
dans	ADP	ADP
ce	DET	DET
domaine	NOUN	PROPN
passionnant	ADJ	PROPN
.	PUNCT	PUNCT

Mon	DET	DET
rêve	NOUN	AUX
est	AUX	AUX
de	ADP	ADP
devenir	VERB	PROPN
chercheuse	NOUN	PROPN
et	CCONJ	CCONJ
de	ADP	ADP
contribuer	VERB	NOUN
à	ADP	ADP
des	DET	DET
découvertes	NOUN	NOUN
scientifiques	ADJ	NOUN
importantes	ADJ	DET
.	PUNCT	PUNCT

Je	PRON	PRON
voudrais	VERB	VERB
aussi	ADV	ADV
voyager	VERB	VERB
à	ADP	ADP
travers	ADP	NOUN
le	DET	DET
monde	NOUN	NOUN
,	PUNCT	PUNCT
découvrir	VERB	VERB
de	ADP	ADP
nouvelles	ADJ	PROPN
cultures	NOUN	ADJ
et	CCONJ	CCONJ
rencontrer	VERB	ADV
des	DET	DET
gens	NOUN	NOUN
fascinants	ADJ	ADJ
.	PUNCT	PUNCT

En	ADP	ADP
fin	NOUN	NOUN
de	ADP	ADP
compte	NOUN	NOUN
,	PUNCT	PUNCT
je	PRON	PRON
veux	VERB	VERB
vivre	VERB	VERB
une	DET	DET
vie	NOUN	NOUN
enrichissante	ADJ	ADJ
et	CCONJ	CCONJ
avoir	VERB	VERB
un	DET	DET
impact	NOUN	NOUN
positif	ADJ	ADV
sur	ADP	ADP
le	DET	DET
monde	NOUN	NOUN
qui	PRON	PRON
m'	PRON	PRON
entoure	VERB	PRON
.	PUNCT	PUNCT
Dans	ADP	ADP
le	DET	DET
futur	NOUN	PROPN
,	PUNCT	PUNCT
j'	PRON	PRON
aimerais	VERB	ADJ
poursuivre	VERB	ADV
mes	DET	DET
études	NOUN	NOUN
en	ADP	ADP
physique	NOUN	NOUN
à	ADP	ADP
l'université	NOUN	DET
afin	SCONJ	ADV
d'	VERB	ADP
approfondir	VERB	NOUN
mes	DET	DET
connaissances	NOUN	PROPN
dans	ADP	ADP
ce	DET	DET
domaine	NOUN	PROPN
passionnant	ADJ	PROPN
.	PUNCT	PUNCT

Mon	DET	DET
rêve	NOUN	AUX
est	VERB	AUX
de	ADP	ADP
devenir	VERB	PROPN
chercheuse	NOUN	PROPN
et	CCONJ	CCONJ
de	ADP	ADP
contribuer	VERB	NOUN
à	ADP	ADP
des	DET	DET
découvertes	NOUN	NOUN
scientifiques	ADJ	NOUN
importantes	ADJ	DET
.	PUNCT	PUNCT

Je	PRON	PRON
voudrais	VERB	VERB
aussi	ADV	ADV
voyager	VERB	VERB
à	ADP	ADP
travers	ADP	NOUN
le	DET	DET
monde	NOUN	NOUN
,	PUNCT	PUNCT
découvrir	VERB	VERB
de	ADP	ADP
nouvelles	ADJ	PROPN
cultures	NOUN	ADJ
et	CCONJ	CCONJ
rencontrer	VERB	ADV
des	DET	DET
gens	NOUN	NOUN
fascinants	ADJ	ADJ
.	PUNCT	PUNCT

En	ADP	ADP
fin	NOUN	NOUN
de	ADP	ADP
compte	NOUN	NOUN
,	PUNCT	PUNCT
je	PRON	PRON
veux	VERB	VERB
vivre	VERB	VERB
une	DET	DET
vie	NOUN	NOUN
enrichissante	ADJ	ADJ
et	CCONJ	CCONJ
avoir	VERB	VERB
un	DET	DET
impact	NOUN	NOUN
positif	ADJ	ADV
sur	ADP	ADP
le	DET	DET
monde	NOUN	NOUN
qui	PRON	PRON
m'	PRON	PRON
entoure	VERB	PRON
.	PUNCT	PUNCT
